composer,title,npy_file_path,file_size,length_in_measures,sample_rate,use
Haydn,Piano Piece n4,Dataset/classifier/Haydn/Piano Piece n4.npy,320,205,,
Haydn,Miniature Concerto for Piano and Orchestra,Dataset/classifier/Haydn/Miniature Concerto for Piano and Orchestra.npy,232,149,,t
Haydn,Symphony n104 1mov ''London'',Dataset/classifier/Haydn/Symphony n104 1mov ''London''.npy,632,405,,t
Haydn,Symphony n90 1mov,Dataset/classifier/Haydn/Symphony n90 1mov.npy,687,440,,t
Haydn,Symphony n88 4mov,Dataset/classifier/Haydn/Symphony n88 4mov.npy,403,258,,
Haydn,Symphony n94 1mov ''Surprise'',Dataset/classifier/Haydn/Symphony n94 1mov ''Surprise''.npy,547,350,,t
Haydn,Symphony n76 3mov,Dataset/classifier/Haydn/Symphony n76 3mov.npy,259,166,,
Haydn,20 Variations for Keyboard HobXVII2,Dataset/classifier/Haydn/20 Variations for Keyboard HobXVII2.npy,1045,669,,
Haydn,Symphony n90 4mov,Dataset/classifier/Haydn/Symphony n90 4mov.npy,756,484,,t
Haydn,Symphony n88 1mov,Dataset/classifier/Haydn/Symphony n88 1mov.npy,814,521,,t
Haydn,Symphony n76 4mov,Dataset/classifier/Haydn/Symphony n76 4mov.npy,356,228,,
Haydn,Symphony n85 ''La reine'',Dataset/classifier/Haydn/Symphony n85 ''La reine''.npy,1493,956,,
Haydn,Symphony n88 3mov,Dataset/classifier/Haydn/Symphony n88 3mov.npy,298,191,,t
Haydn,Symphony n45 4mov ''Farewell'',Dataset/classifier/Haydn/Symphony n45 4mov ''Farewell''.npy,489,313,,
Haydn,Piano Piece n10,Dataset/classifier/Haydn/Piano Piece n10.npy,142,91,,t
Haydn,Symphony n76 1mov,Dataset/classifier/Haydn/Symphony n76 1mov.npy,422,270,,
Haydn,Symphony n96 2mov ''Miracle'',Dataset/classifier/Haydn/Symphony n96 2mov ''Miracle''.npy,142,91,,
Haydn,Piano Piece n1,Dataset/classifier/Haydn/Piano Piece n1.npy,189,121,,
Haydn,Piano Piece n6,Dataset/classifier/Haydn/Piano Piece n6.npy,129,83,,t
Haydn,Symphony n94 4mov ''Surprise'',Dataset/classifier/Haydn/Symphony n94 4mov ''Surprise''.npy,423,271,,
Haydn,Piano Piece n8,Dataset/classifier/Haydn/Piano Piece n8.npy,90,58,,
Haydn,Piano Piece n9,Dataset/classifier/Haydn/Piano Piece n9.npy,151,97,,t
Haydn,Symphony n55 2mov ''Der Schulmeister'',Dataset/classifier/Haydn/Symphony n55 2mov ''Der Schulmeister''.npy,276,177,,t
Haydn,Symphony n55 3mov ''Der Schulmeister'',Dataset/classifier/Haydn/Symphony n55 3mov ''Der Schulmeister''.npy,289,185,,t
Haydn,Symphony n45 1mov ''Farewell'',Dataset/classifier/Haydn/Symphony n45 1mov ''Farewell''.npy,442,283,,
Haydn,German Dance No.5,Dataset/classifier/Haydn/German Dance No.5.npy,50,32,,t
Haydn,German Dance No.6,Dataset/classifier/Haydn/German Dance No.6.npy,50,32,,
Haydn,Symphony n94 2mov ''Surprise'',Dataset/classifier/Haydn/Symphony n94 2mov ''Surprise''.npy,286,183,,t
Haydn,Symphony n28 1mov,Dataset/classifier/Haydn/Symphony n28 1mov.npy,512,328,,
Haydn,Symphony n96 3mov ''Miracle'',Dataset/classifier/Haydn/Symphony n96 3mov ''Miracle''.npy,347,222,,
Haydn,German Dance No.1,Dataset/classifier/Haydn/German Dance No.1.npy,50,32,,
Haydn,12 Menuets HobIX8,Dataset/classifier/Haydn/12 Menuets HobIX8.npy,1318,844,,t
Haydn,Symphony n55 4mov ''Der Schulmeister'',Dataset/classifier/Haydn/Symphony n55 4mov ''Der Schulmeister''.npy,467,299,,
Haydn,Piano Piece n3,Dataset/classifier/Haydn/Piano Piece n3.npy,100,64,,t
Haydn,Piano Piece n7,Dataset/classifier/Haydn/Piano Piece n7.npy,93,60,,t
Haydn,Symphony n101 1mov ''Clock'',Dataset/classifier/Haydn/Symphony n101 1mov ''Clock''.npy,711,455,,
Haydn,12 Menuets HobIX3,Dataset/classifier/Haydn/12 Menuets HobIX3.npy,1193,764,,t
Haydn,Symphony n104 3mov ''London'',Dataset/classifier/Haydn/Symphony n104 3mov ''London''.npy,370,237,,t
Haydn,Symphony n70 1mov,Dataset/classifier/Haydn/Symphony n70 1mov.npy,568,364,,
Haydn,Piano Piece n2,Dataset/classifier/Haydn/Piano Piece n2.npy,45,29,,
Haydn,Sonata No.7,Dataset/classifier/Haydn/Sonata No.7.npy,606,388,,
Haydn,Symphony n94 3mov ''Surprise'',Dataset/classifier/Haydn/Symphony n94 3mov ''Surprise''.npy,379,243,,t
Haydn,Symphony n76 2mov,Dataset/classifier/Haydn/Symphony n76 2mov.npy,232,149,,
Haydn,Symphony n101 3mov ''Clock'',Dataset/classifier/Haydn/Symphony n101 3mov ''Clock''.npy,578,370,,v
Haydn,Capriccio,Dataset/classifier/Haydn/Capriccio.npy,561,359,,
Haydn,Symphony n96 4mov ''Miracle'',Dataset/classifier/Haydn/Symphony n96 4mov ''Miracle''.npy,456,292,,t
Haydn,Symphony n101 4mov ''Clock'',Dataset/classifier/Haydn/Symphony n101 4mov ''Clock''.npy,482,309,,
Haydn,Symphony n104 4mov ''London'',Dataset/classifier/Haydn/Symphony n104 4mov ''London''.npy,709,454,,t
Haydn,Piano Piece n5,Dataset/classifier/Haydn/Piano Piece n5.npy,201,129,,
Haydn,Symphony n55 1mov ''Der Schulmeister'',Dataset/classifier/Haydn/Symphony n55 1mov ''Der Schulmeister''.npy,675,432,,v
Haydn,Symphony n90 3mov,Dataset/classifier/Haydn/Symphony n90 3mov.npy,362,232,,
Haydn,Symphony n101 2mov ''Clock'',Dataset/classifier/Haydn/Symphony n101 2mov ''Clock''.npy,290,186,,
Haydn,Symphony n104 2mov ''London'',Dataset/classifier/Haydn/Symphony n104 2mov ''London''.npy,303,194,,t
